check,passed,severity,detail
首批标记合法,True,error,
节点唯一且数量16,True,error,
服务区编号完整,True,error,
货箱唯一且数量80,True,error,
货箱外键全部有效,True,error,
必填货箱字段无缺失,True,error,
货箱质量体积与时限为正,True,error,
首批时限缺失仅出现在非首批,True,error,
需求汇总与逐箱清单逐项一致,True,error,53个服务区-物资组合
需求组合无缺失或重复,True,error,
运输库存一致,True,error,
中继库存一致,True,error,
全机队编号唯一且初始位置有效,True,error,
DEM CRS为WGS84,True,error,
MAT与GeoTIFF高程数组一致,True,error,dem
全部节点DEM有效,True,error,
节点地面海拔与DEM差异不超过5m,False,warning,最大绝对差10.562912m，保留原始海拔
240条有向航段及720条机型航段,True,error,
水平距离与巡航海拔矩阵对称,True,error,
正反航段爬升下降互换,True,error,
米制投影任务区误差小于0.1%,True,error,与WGS84测地距离比较：0.051547%
15条中心航线密采样交叉核验无漏高点,True,error,
settlements坐标无缺失,True,error,
settlements几何顶点键唯一,True,error,
waterbodies坐标无缺失,True,error,
waterbodies几何顶点键唯一,True,error,
rivers坐标无缺失,True,error,
rivers几何顶点键唯一,True,error,
roads坐标无缺失,True,error,
roads几何顶点键唯一,True,error,
充电曲线单调且100%充电时间为0,True,error,
